candidate,flag_col,description,n,pct_pop,mean_resid_Q3bFam,median_resid,beta_added,se_beta,cv_delta_R2,spearman_vs_Q3bFam,jaccard_top1,fold_betas,fold_consistent,belongs_in,decision
edition_title_any,flag_edition_title,title edition heuristic,501,3.4086270240849093,0.11565914330714747,0.14114769707060404,0.12294883262141718,0.024485822964763163,0.0005603265019332726,0.9988670007011717,0.9210526315789473,+0.125 +0.119 +0.148 +0.127 +0.096,5/5,eligibility/screening,screening/eligibility — not model
edition_collectors,flag_ed_collectors,Collector's Edition,21,0.14287658184787044,0.17856081641668864,0.18008921074505668,0.17995632124777608,0.11654139799691957,-1.013436682795188e-06,0.9999671692586325,0.972972972972973,+0.230 +0.204 +0.063 +0.233 +0.178,5/5,eligibility/screening,screening/eligibility — not model
edition_ultimate,flag_ed_ultimate,Ultimate Edition,7,0.04762552728262349,0.48532674911943186,0.4707155588320244,0.48783018925773863,0.20156546883725676,0.00012206633478983875,0.9996570442813245,1.0,+0.384 +0.542 +0.479 +0.552 +0.503,5/5,eligibility/screening,screening/eligibility — not model
edition_kickstarter,flag_ed_kickstarter,Kickstarter,16,0.10885834807456797,0.3630840060392336,0.36121401553393007,0.36509895756751926,0.13334151466909383,0.0001759772476845889,0.99965948872795,1.0,+0.361 +0.321 +0.297 +0.439 +0.368,5/5,eligibility/screening,screening/eligibility — not model
edition_second,flag_ed_second_edition,Second Edition,112,0.7620084365219758,0.20054113630155326,0.17321216244912208,0.20430717625936134,0.05071370685783917,0.0004320985033311464,0.9991291410543401,0.972972972972973,+0.203 +0.210 +0.215 +0.218 +0.172,5/5,eligibility/screening,screening/eligibility — not model
edition_3d,flag_ed_3d_edition,3D Edition,1,0.006803646754660498,0.9277529891143068,0.9277529891143068,0.929461074360681,0.5324614690849989,-2.4024786640097773e-06,0.9999009941860992,1.0,+0.919 +0.000 +0.940 +0.939 +0.932,4/5,eligibility/screening,screening/eligibility — not model
game_system,flag_game_system,Game System,32,0.21771669614913594,0.16190779171588715,0.15237864464125117,0.16556996266451235,0.09509807455079813,-5.639670502699534e-05,0.9998715955814886,0.9863945578231292,+0.242 +0.072 +0.251 +0.126 +0.119,5/5,eligibility/screening,screening/eligibility — not model
series_any,flag_series_any,Series any,3222,21.921349843516126,0.06548156207071808,0.08593657559458778,0.09375175885896828,0.011188292964469996,0.0017398986095115143,0.9963918711811858,0.9210526315789473,+0.081 +0.101 +0.100 +0.094 +0.092,5/5,eligibility/screening,screening/eligibility — not model
game_family,flag_game_family,Game family,2740,18.641992107769763,0.031765219640668516,0.05458123010914928,0.04599163552245991,0.01222408554849466,0.0003607873421307417,0.9993488297226176,0.9210526315789473,+0.046 +0.045 +0.052 +0.043 +0.045,5/5,eligibility/screening,screening/eligibility — not model
high_version_ge10,n_version,n_version >=10 (588),588,4.000544291740373,-0.007115403116534372,0.04881755623270756,-0.012073796833273552,0.02858027819595593,-0.00010360081794913434,0.9999902518466592,1.0,+0.010 -0.005 -0.026 +0.001 -0.042,2/5,eligibility/screening,screening/eligibility — not model
solo_mech,flag_solo_mech,Solo mech,1397,9.504694516260717,0.010636465607227991,0.013417465621999192,0.0160909925367518,0.017507205999144296,1.6615075266512846e-05,0.9999538413620626,1.0,+0.016 +0.017 +0.011 +0.019 +0.017,5/5,audience-selection,keep Q3bFam (no add)
solo_first,flag_solo_first,solo-first,691,4.701319907470404,0.1274940714427582,0.1623364520942321,0.17578846388422925,0.023721034156605723,0.0014256863644521722,0.9972953837381792,0.9466666666666667,+0.190 +0.174 +0.156 +0.177 +0.183,5/5,audience-selection,"audience-selection (not model) — systematic but belongs_in audience, not model leakage"
duel,flag_duel,duel max<=2,2555,17.38331745815757,0.0800358415013051,0.11012771124393339,0.200791275434869,0.016588542196590093,0.0038461136429615017,0.9932250326345138,0.8136645962732919,+0.203 +0.189 +0.198 +0.196 +0.217,5/5,audience-selection,"audience-selection (not model) — systematic but belongs_in audience, not model leakage"
strict_solo,flag_strict_solo,strict solo,249,1.6941080419104642,0.12099437872393533,0.1470937693739094,0.14092702252067313,0.036368649423629905,0.00032215098303178813,0.9992423517113508,0.959731543624161,+0.155 +0.106 +0.153 +0.151 +0.143,5/5,audience-selection,keep Q3bFam (no add)
