candidate,flag_col,description,n,pct_pop,mean_resid_Q3bFam,median_resid,beta_added,se_beta,cv_delta_R2,spearman_vs_Q3bFam,jaccard_top1,fold_betas,fold_consistent,belongs_in,decision
edition_title_any,flag_edition_title,title edition heuristic,501,3.4086270240849093,0.1156591433071474,0.141147697070604,0.1229488326214171,0.0244858229647631,0.0005603265019332,0.9988670007011716,0.9210526315789472,+0.125 +0.119 +0.148 +0.127 +0.096,5/5,eligibility/screening,screening/eligibility — not model
edition_collectors,flag_ed_collectors,Collector's Edition,21,0.1428765818478704,0.1785608164166886,0.1800892107450566,0.179956321247776,0.1165413979969195,-1.013436682795188e-06,0.9999671692586324,0.972972972972973,+0.230 +0.204 +0.063 +0.233 +0.178,5/5,eligibility/screening,screening/eligibility — not model
edition_ultimate,flag_ed_ultimate,Ultimate Edition,7,0.0476255272826234,0.4853267491194318,0.4707155588320244,0.4878301892577386,0.2015654688372567,0.0001220663347898,0.9996570442813244,1.0,+0.384 +0.542 +0.479 +0.552 +0.503,5/5,eligibility/screening,screening/eligibility — not model
edition_kickstarter,flag_ed_kickstarter,Kickstarter,16,0.1088583480745679,0.3630840060392336,0.36121401553393,0.3650989575675192,0.1333415146690938,0.0001759772476845,0.99965948872795,1.0,+0.361 +0.321 +0.297 +0.439 +0.368,5/5,eligibility/screening,screening/eligibility — not model
edition_second,flag_ed_second_edition,Second Edition,112,0.7620084365219758,0.2005411363015532,0.173212162449122,0.2043071762593613,0.0507137068578391,0.0004320985033311,0.99912914105434,0.972972972972973,+0.203 +0.210 +0.215 +0.218 +0.172,5/5,eligibility/screening,screening/eligibility — not model
edition_3d,flag_ed_3d_edition,3D Edition,1,0.0068036467546604,0.9277529891143068,0.9277529891143068,0.929461074360681,0.5324614690849989,-2.4024786640097773e-06,0.9999009941860992,1.0,+0.919 +0.000 +0.940 +0.939 +0.932,4/5,eligibility/screening,screening/eligibility — not model
game_system,flag_game_system,Game System,32,0.2177166961491359,0.1619077917158871,0.1523786446412511,0.1655699626645123,0.0950980745507981,-5.639670502699534e-05,0.9998715955814886,0.9863945578231292,+0.242 +0.072 +0.251 +0.126 +0.119,5/5,eligibility/screening,screening/eligibility — not model
series_any,flag_series_any,Series any,3222,21.92134984351613,0.065481562070718,0.0859365755945877,0.0937517588589682,0.0111882929644699,0.0017398986095115,0.9963918711811858,0.9210526315789472,+0.081 +0.101 +0.100 +0.094 +0.092,5/5,eligibility/screening,screening/eligibility — not model
game_family,flag_game_family,Game family,2740,18.641992107769763,0.0317652196406685,0.0545812301091492,0.0459916355224599,0.0122240855484946,0.0003607873421307,0.9993488297226176,0.9210526315789472,+0.046 +0.045 +0.052 +0.043 +0.045,5/5,eligibility/screening,screening/eligibility — not model
high_version_ge10,n_version,n_version >=10 (588),588,4.000544291740373,-0.0071154031165343,0.0488175562327075,-0.0120737968332735,0.0285802781959559,-0.0001036008179491,0.9999902518466592,1.0,+0.010 -0.005 -0.026 +0.001 -0.042,2/5,eligibility/screening,screening/eligibility — not model
solo_mech,flag_solo_mech,Solo mech,1397,9.504694516260717,0.0106364656072279,0.0134174656219991,0.0160909925367518,0.0175072059991442,1.6615075266512846e-05,0.9999538413620626,1.0,+0.016 +0.017 +0.011 +0.019 +0.017,5/5,audience-selection,keep Q3bFam (no add)
solo_first,flag_solo_first,solo-first,691,4.701319907470404,0.1274940714427582,0.1623364520942321,0.1757884638842292,0.0237210341566057,0.0014256863644521,0.9972953837381792,0.9466666666666668,+0.190 +0.174 +0.156 +0.177 +0.183,5/5,audience-selection,"audience-selection (not model) — systematic but belongs_in audience, not model leakage"
duel,flag_duel,duel max<=2,2555,17.38331745815757,0.0800358415013051,0.1101277112439333,0.200791275434869,0.01658854219659,0.0038461136429615,0.9932250326345138,0.8136645962732919,+0.203 +0.189 +0.198 +0.196 +0.217,5/5,audience-selection,"audience-selection (not model) — systematic but belongs_in audience, not model leakage"
strict_solo,flag_strict_solo,strict solo,249,1.6941080419104642,0.1209943787239353,0.1470937693739094,0.1409270225206731,0.0363686494236299,0.0003221509830317,0.9992423517113508,0.959731543624161,+0.155 +0.106 +0.153 +0.151 +0.143,5/5,audience-selection,keep Q3bFam (no add)
wargame_duel,flag_wargame_duel,wargame duel,1153,7.844604708123554,0.0744109290547235,0.1184866065671608,0.2040849207187339,0.0258933476578564,0.0016899387362031,0.9970365621591504,0.9466666666666668,+0.211 +0.201 +0.197 +0.209 +0.202,5/5,audience-selection,keep Q3bFam (no add)
euro_duel,flag_euro_duel,euro duel,1402,9.53871275003402,0.0846617502394709,0.1038636258989891,0.1424964940109678,0.0183963558536874,0.001507874196049,0.997184033874335,0.8717948717948718,+0.142 +0.130 +0.143 +0.135 +0.163,5/5,audience-selection,keep Q3bFam (no add)
team,flag_team_mech,team,802,5.45652469723772,0.0303547460114504,0.0372358981293601,0.0359090859774968,0.0204310435811047,6.327698868513476e-05,0.9998530023435772,0.959731543624161,+0.043 +0.032 +0.026 +0.042 +0.037,5/5,audience-selection,keep Q3bFam (no add)
