game_id,title,primary_type,at_risk_pop,N_at_risk,n_raters,n_raters_in_pop,penetration,penetration_pct,mean_p_raters,mean_p_nonraters_est,max_w,ess,ess_ratio,overlap_flag,reason
12,Ra,Other,ALL_ACTIVE,287302,27540,27540.0,0.09585732086793687,9.585732086793687,0.6599010876702046,,8.610893938264596,22590.82348396099,0.8202913392868915,sufficient,stable
12,Ra,Other,ACTIVE_50PLUS,119969,27540,24244.000000000004,0.20208553876418078,20.20855387641808,0.6599010876702046,,8.610893938264596,22590.82348396099,0.8202913392868915,sufficient,active50
13,CATAN,Economic,ALL_ACTIVE,287302,119003,119003.0,0.41420874202059155,41.42087420205915,0.5727768920204576,,11.551215063871007,86838.89721184957,0.7297202357238858,sufficient,stable
13,CATAN,Economic,ACTIVE_50PLUS,119969,119003,69726.00000000001,0.5812001433703708,58.120014337037084,0.5727768920204576,,11.551215063871007,86838.89721184957,0.7297202357238858,sufficient,active50
13,CATAN,Economic,TYPE_Economic_GE5,170899,119003,84585.0,0.49494145664983413,49.494145664983414,0.5727768920204576,,11.551215063871007,86838.89721184957,0.7297202357238858,sufficient,share 0.711
13,CATAN,Economic,TYPE_Economic_GE10,105561,119003,60089.0,0.5692348499919477,56.92348499919477,0.5727768920204576,,11.551215063871007,86838.89721184957,0.7297202357238858,sufficient,share 0.505
13,CATAN,Economic,TYPE_Economic_GE20,55654,119003,36413.0,0.6542746253638553,65.42746253638553,0.5727768920204576,,11.551215063871007,86838.89721184957,0.7297202357238858,sufficient,share 0.306
47,Chinatown,Economic,ALL_ACTIVE,287302,11597,11597.0,0.04036519063563776,4.036519063563776,0.7778554314636699,,9.738522831288709,9136.441780280682,0.7878280400345505,sufficient,stable
47,Chinatown,Economic,ACTIVE_50PLUS,119969,11597,10299.000000000002,0.0858471771874401,8.58471771874401,0.7778554314636699,,9.738522831288709,9136.441780280682,0.7878280400345505,sufficient,active50
47,Chinatown,Economic,TYPE_Economic_GE5,170899,11597,10992.0,0.06431869115676511,6.431869115676511,0.7778554314636699,,9.738522831288709,9136.441780280682,0.7878280400345505,sufficient,share 0.948
47,Chinatown,Economic,TYPE_Economic_GE10,105561,11597,10006.0,0.09478879510425252,9.478879510425251,0.7778554314636699,,9.738522831288709,9136.441780280682,0.7878280400345505,sufficient,share 0.863
47,Chinatown,Economic,TYPE_Economic_GE20,55654,11597,8339.0,0.1498364897401804,14.98364897401804,0.7778554314636699,,9.738522831288709,9136.441780280682,0.7878280400345505,sufficient,share 0.719
1,Die Macher,Economic,ALL_ACTIVE,287302,5788,5788.0,0.020146048408991236,2.0146048408991235,0.9246731569719168,,4.185606890596695,5605.574856079417,0.968482179695822,sufficient,stable
1,Die Macher,Economic,ACTIVE_50PLUS,119969,5788,5346.000000000001,0.044561511723862,4.456151172386201,0.9246731569719168,,4.185606890596695,5605.574856079417,0.968482179695822,sufficient,active50
1,Die Macher,Economic,TYPE_Economic_GE5,170899,5788,5670.0,0.03317749079865886,3.317749079865886,0.9246731569719168,,4.185606890596695,5605.574856079417,0.968482179695822,low_penetration,share 0.980
1,Die Macher,Economic,TYPE_Economic_GE10,105561,5788,5427.000000000001,0.0514110324835877,5.14110324835877,0.9246731569719168,,4.185606890596695,5605.574856079417,0.968482179695822,sufficient,share 0.938
1,Die Macher,Economic,TYPE_Economic_GE20,55654,5788,4868.0,0.08746900492327596,8.746900492327596,0.9246731569719168,,4.185606890596695,5605.574856079417,0.968482179695822,sufficient,share 0.841
2,Dragonmaster,Other,ALL_ACTIVE,287302,589,589.0,0.0020501075523316928,0.20501075523316928,0.6926991716877502,,6.606886845832864,464.0942905705132,0.787935977199513,sufficient,stable
2,Dragonmaster,Other,ACTIVE_50PLUS,119969,589,508.0,0.00423442722703365,0.423442722703365,0.6926991716877502,,6.606886845832864,464.0942905705132,0.787935977199513,sufficient,active50
3,Samurai,Other,ALL_ACTIVE,287302,16336,16336.0,0.056860028819848106,5.686002881984811,0.6805410204020623,,8.710777875072413,13361.353819723196,0.817908534508031,sufficient,stable
3,Samurai,Other,ACTIVE_50PLUS,119969,16336,14233.000000000004,0.11863898173694874,11.863898173694874,0.6805410204020623,,8.710777875072413,13361.353819723196,0.817908534508031,sufficient,active50
4,Tal der Könige,Other,ALL_ACTIVE,287302,356,356.0,0.0012391142421563372,0.12391142421563373,0.8471538497330267,,4.037304048927545,333.6132380336238,0.9371158371731007,sufficient,stable
4,Tal der Könige,Other,ACTIVE_50PLUS,119969,356,346.00000000000006,0.0028840783869166207,0.2884078386916621,0.8471538497330267,,4.037304048927545,333.6132380336238,0.9371158371731007,sufficient,active50
5,Acquire,Economic,ALL_ACTIVE,287302,20432,20432.0,0.07111680392061315,7.111680392061315,0.7970125125558792,,7.832154985730964,17321.039128083175,0.8477407560729824,sufficient,stable
5,Acquire,Economic,ACTIVE_50PLUS,119969,20432,16977.0,0.14151155715226432,14.151155715226432,0.7970125125558792,,7.832154985730964,17321.039128083175,0.8477407560729824,sufficient,active50
5,Acquire,Economic,TYPE_Economic_GE5,170899,20432,18876.0,0.11045120217204314,11.045120217204314,0.7970125125558792,,7.832154985730964,17321.039128083175,0.8477407560729824,sufficient,share 0.924
5,Acquire,Economic,TYPE_Economic_GE10,105561,20432,16565.0,0.15692348499919478,15.692348499919479,0.7970125125558792,,7.832154985730964,17321.039128083175,0.8477407560729824,sufficient,share 0.811
5,Acquire,Economic,TYPE_Economic_GE20,55654,20432,12892.0,0.23164552413123946,23.164552413123946,0.7970125125558792,,7.832154985730964,17321.039128083175,0.8477407560729824,sufficient,share 0.631
7,Cathedral,Other,ALL_ACTIVE,287302,3582,3582.0,0.012467716897202247,1.2467716897202248,0.6461041761693748,,8.73314956937577,2751.085607659767,0.7680305995700075,sufficient,stable
7,Cathedral,Other,ACTIVE_50PLUS,119969,3582,3026.0000000000005,0.025223182655519347,2.522318265551935,0.6461041761693748,,8.73314956937577,2751.085607659767,0.7680305995700075,sufficient,active50
8,Lords of Creation,Other,ALL_ACTIVE,287302,210,210.0,0.0007309381765528956,0.07309381765528955,0.7784223528354506,,5.346673049292241,167.6740976279043,0.7984480839424014,sufficient,stable
8,Lords of Creation,Other,ACTIVE_50PLUS,119969,210,194.0,0.0016170844134734807,0.16170844134734808,0.7784223528354506,,5.346673049292241,167.6740976279043,0.7984480839424014,sufficient,active50
9,El Caballero,Other,ALL_ACTIVE,287302,1453,1453.0,0.00505739605014932,0.505739605014932,0.8232232926172646,,4.82216599603669,1306.7214059793848,0.8993265010181588,sufficient,stable
9,El Caballero,Other,ACTIVE_50PLUS,119969,1453,1377.0000000000002,0.011477965140994759,1.147796514099476,0.8232232926172646,,4.82216599603669,1306.7214059793848,0.8993265010181588,sufficient,active50
10,Elfenland,Other,ALL_ACTIVE,287302,8988,8988.0,0.03128415395646393,3.128415395646393,0.6775658026591737,,8.439669361444434,7172.21586094228,0.7979768425614464,sufficient,stable
10,Elfenland,Other,ACTIVE_50PLUS,119969,8988,7982.000000000002,0.06653385457909962,6.653385457909962,0.6775658026591737,,8.439669361444434,7172.21586094228,0.7979768425614464,sufficient,active50
11,Bohnanza,Other,ALL_ACTIVE,287302,47031,47031.0,0.16369882562599633,16.36988256259963,0.5280260053136622,,11.36209609633952,35180.50725424437,0.7480280507376914,sufficient,stable
11,Bohnanza,Other,ACTIVE_50PLUS,119969,47031,36441.000000000015,0.30375346964632544,30.375346964632545,0.5280260053136622,,11.36209609633952,35180.50725424437,0.7480280507376914,sufficient,active50
74,Apples to Apples,Party,ALL_ACTIVE,287302,18815,18815.0,0.06548857996115585,6.5488579961155855,0.5847163277253605,,21.256077649394957,10879.537790670458,0.5782374589779675,sufficient,|delta| 0.06
74,Apples to Apples,Party,ACTIVE_50PLUS,119969,18815,13918.000000000002,0.11601330343672117,11.601330343672117,0.5847163277253605,,21.256077649394957,10879.537790670458,0.5782374589779675,sufficient,active50
74,Apples to Apples,Party,TYPE_Party_GE5,117050,18815,14599.0,0.1247244767193507,12.47244767193507,0.5847163277253605,,21.256077649394957,10879.537790670458,0.5782374589779675,sufficient,share 0.776
74,Apples to Apples,Party,TYPE_Party_GE10,62902,18815,10818.0,0.1719818129789196,17.19818129789196,0.5847163277253605,,21.256077649394957,10879.537790670458,0.5782374589779675,sufficient,share 0.575
74,Apples to Apples,Party,TYPE_Party_GE20,25291,18815,6341.0,0.2507216005693725,25.07216005693725,0.5847163277253605,,21.256077649394957,10879.537790670458,0.5782374589779675,sufficient,share 0.337
14,Basari,Other,ALL_ACTIVE,287302,1722,1722.0,0.005993693047733744,0.5993693047733744,0.7234242683308598,,8.928539335171589,1408.7375789034331,0.8180822177139565,sufficient,stable
14,Basari,Other,ACTIVE_50PLUS,119969,1722,1637.0000000000002,0.013645191674515918,1.3645191674515917,0.7234242683308598,,8.928539335171589,1408.7375789034331,0.8180822177139565,sufficient,active50
15,Cosmic Encounter,Other,ALL_ACTIVE,287302,3860,3860.0,0.013435339816638938,1.3435339816638938,0.6957130058661278,,6.585439531871346,3130.552023910291,0.8110238403912672,sufficient,stable
15,Cosmic Encounter,Other,ACTIVE_50PLUS,119969,3860,3257.0,0.02714868007568622,2.714868007568622,0.6957130058661278,,6.585439531871346,3130.552023910291,0.8110238403912672,sufficient,active50
16,MarraCash,Economic,ALL_ACTIVE,287302,1169,1169.0,0.004068889182811119,0.40688891828111184,0.8939130970088704,,3.423702570113881,1114.8062604476515,0.9536409413581279,sufficient,stable
16,MarraCash,Economic,ACTIVE_50PLUS,119969,1169,1146.0000000000002,0.009552467720827882,0.9552467720827882,0.8939130970088704,,3.423702570113881,1114.8062604476515,0.9536409413581279,sufficient,active50
16,MarraCash,Economic,TYPE_Economic_GE5,170899,1169,1159.0,0.0067817833925300905,0.6781783392530091,0.8939130970088704,,3.423702570113881,1114.8062604476515,0.9536409413581279,low_penetration,share 0.991
16,MarraCash,Economic,TYPE_Economic_GE10,105561,1169,1133.0,0.010733130606947642,1.0733130606947643,0.8939130970088704,,3.423702570113881,1114.8062604476515,0.9536409413581279,low_penetration,share 0.969
16,MarraCash,Economic,TYPE_Economic_GE20,55654,1169,1078.0,0.019369676932475655,1.9369676932475655,0.8939130970088704,,3.423702570113881,1114.8062604476515,0.9536409413581279,low_penetration,share 0.922
17,Button Men,Other,ALL_ACTIVE,287302,810,810.0,0.0028193329667040258,0.28193329667040257,0.6347778294436709,,8.643376112209042,637.7999097861997,0.7874072960323453,sufficient,stable
17,Button Men,Other,ACTIVE_50PLUS,119969,810,728.0000000000001,0.006068234293859248,0.6068234293859248,0.6347778294436709,,8.643376112209042,637.7999097861997,0.7874072960323453,sufficient,active50
18,RoboRally,Other,ALL_ACTIVE,287302,23442,23442.0,0.08159358445120465,8.159358445120466,0.63932181245919,,7.825967747783239,18994.595818079404,0.8102805143792937,sufficient,stable
18,RoboRally,Other,ACTIVE_50PLUS,119969,23442,19038.000000000004,0.15869099517375326,15.869099517375327,0.63932181245919,,7.825967747783239,18994.595818079404,0.8102805143792937,sufficient,active50
19,Wacky Wacky West,Other,ALL_ACTIVE,287302,1966,1966.0,0.006842973595728536,0.6842973595728536,0.7247310819762054,,7.626887128246197,1652.216266089986,0.8403948454170834,sufficient,stable
